id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc,supermarketsnearby,leisurelocationsnearby,othershopsnearby,smallestdistancetonextoev,distancetomainstation,altitude,distancetonightclubs
3001198168,249.ecoreal.62600-10400,rent,2021-10-13 07:22:02,,4,1100,,,,87,,Langgasse 41,St. Gallen,9000,,,POINT(9.37481799212038 47.4245453731374),2363677,0.16,12.64367816091954,366.6666666666667,M,c,2363677,False,,,,,,,,True,206,Centrum,Innenstadt,Altstadt,0,0,0,,,,
3001237765,12205.01.10300,rent,2021-10-12 23:28:19,,3,1500,,,,114,,Rorschacherstrasse 123,St. Gallen,9000,,,POINT(9.39301451193136 47.4308967751026),1076048,0.425,13.157894736842104,375.0,M,c,1076048,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,303,Osten,St.Fiden,St.Fiden-Krontal,0,0,0,,,,
3001422307,05902.01.0012,rent,2021-10-14 22:07:32,,3,1320,250.0,1070.0,,66,1959.0,Langgasse 92,St. Gallen,9008,47.4403915405273,9.39240264892578,POINT (9.392402648925781 47.440391540527344),1075154,0.03125,20.0,440.0,M,c,1075154,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz,0,4,1,661.1455700977466,2593.4008207723464,669,1948.4940650665228
3001331658,4992.1001,rent,2021-10-12 23:17:49,,-1,870,,,,38,,Rorschacherstrasse 165,St. Gallen,9000,,,POINT(9.39699885636754 47.4321608732295),1076144,0.254901960784314,22.894736842105264,290.0,M,b,1076144,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,303,Osten,St.Fiden,St.Fiden-Krontal,0,0,0,,,,
3001362014,6172.03.0201,rent,2021-10-12 19:05:12,,2,750,,,,45,1947.0,Helvetiastrasse 51 A,St. Gallen,9000,,,POINT(9.39533672940079 47.4341953261533),1076174,0.0217391304347826,16.666666666666668,375.0,S,c,1076174,True,59.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,303,Osten,St.Fiden,St.Fiden-Krontal,0,0,0,,,,
3001421620,7160.4021,rent,2021-10-14 22:17:20,,2,1495,250.0,1245.0,,85,1901.0,St. Leonhardstrasse 73,St. Gallen,9000,,,POINT(9.36490032259637 47.4208424718818),1071077,0.0229885057471264,17.58823529411765,373.75,M,c,1071077,False,69.0,61.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,202,Centrum,Rosenberg,Rosenberg-Kreubleiche,0,0,0,,,,
3001384889,264-1.uze.4100-2013,rent,2021-10-13 07:29:02,,1,1050,,,,55,,Teufenerstrasse 95,St. Gallen,9000,,,POINT(9.36481002310679 47.4150500166327),1071628,0.0,19.09090909090909,525.0,S,d,1071628,False,69.0,61.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,203,Centrum,Riethüsli,Riethüsli,0,0,0,,,,
3001388701,16735-10.888886.3b0e7b82-210c-11ec-842e-005056bdbc06,rent,2021-10-12 19:54:48,,2,2320,,,,97,2020.0,Sankt Georgen-Strasse 167,St. Gallen,9011,,,POINT(9.39186202596431 47.4146678644583),191690308,0.0543478260869565,23.91752577319588,773.3333333333334,M,f,191690308,False,56.0,41.0,ES II,,Keine Nutzung definiert,Keine Nutzung definiert,Keine Nutzung definiert,True,209,Centrum,St.Georgen,St.Georgen-Bach,0,0,0,,,,
3001419785,1506.01.1041,rent,2021-10-13 21:33:15,,4,1790,250.0,1540.0,,102,,Hagenbuchstrasse 31,St. Gallen,9000,47.4297485351562,9.40007019042969,POINT (9.400070190429688 47.42974853515625),1075721,0.0727272727272728,17.54901960784314,358.0,L,c,1075721,False,,,,,,,,True,303,Osten,St.Fiden,St.Fiden-Krontal,2,7,6,578.8393855126775,2425.0793876871594,698,1759.0149799001663
3001443923,A95ZL3R_23JNK56,rent,2021-10-23 15:30:03,,1,2090,250.0,1840.0,,110,2012.0,Lukasstrasse 41,St. Gallen,9016,47.4388809204102,9.40090847015381,POINT (9.400908470153809 47.438880920410156),190607614,0.0350877192982456,19.0,418.0,L,c,190607614,False,63.0,54.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,308,Osten,Neudorf,Stephanshorn-Zil-Kesselhalden,2,2,6,747.2620315974639,2955.0734967276803,647,2271.522118586857
